FID,CATEGORY,IFT_IOA,COUNTRY,Area_Ha,Shape__Are,Shape__Len
72841,Woodland,Broadleaved,England,102.535940022999995,1025359.400229930877686,15446.900032298259248
73100,Woodland,Broadleaved,England,86.259355306299994,862593.553061485290527,17729.428335031039751
73466,Woodland,Broadleaved,England,65.833808090500000,658338.080914974212646,15194.469101951675839
73568,Woodland,Broadleaved,England,62.821048374299998,628210.483750343322754,12942.067570962357422
73748,Woodland,Broadleaved,England,87.086972217300001,870869.722192287445068,14545.071986481749263
73787,Woodland,Broadleaved,England,55.671421874600000,556714.218751907348633,13617.854151333629488
73935,Woodland,Broadleaved,England,84.087006592199998,840870.065913200378418,13944.617865304942825
74065,Woodland,Broadleaved,England,65.358103631399999,653581.036309718969278,14716.604805776532885
74280,Woodland,Broadleaved,England,74.203426371899994,742034.263693809509277,15328.582450116029577
74350,Woodland,Broadleaved,England,80.188049687000003,801880.496871471405029,12277.961018937052359
74367,Woodland,Broadleaved,England,60.771538085899998,607715.380848884582520,14251.070591287831121
74402,Woodland,Broadleaved,England,50.241788709300003,502417.887084484100342,12062.497893245836167
74514,Woodland,Broadleaved,England,52.478302970400001,524783.029689788818359,10163.212941460473303
74522,Woodland,Broadleaved,England,51.229950032300003,512299.500320911407471,16840.145432484478079
74584,Woodland,Broadleaved,England,78.846513562200002,788465.135666847229004,15168.580693003295892
74759,Woodland,Broadleaved,England,115.369967025999998,1153699.670287132263184,22146.779489256681700
75014,Woodland,Broadleaved,England,52.804941126999999,528049.411281585693359,7054.838606611668183
75015,Woodland,Broadleaved,England,75.532312180900007,755323.121823310852051,12135.729830632109952
75049,Woodland,Broadleaved,England,74.773905144500006,747739.051455497741699,8726.250711695933205
75161,Woodland,Broadleaved,England,57.040916449999997,570409.164518356323242,7657.820247844282676
75178,Woodland,Broadleaved,England,99.178998208799996,991789.982053756713867,16522.293810080012918
75395,Woodland,Broadleaved,England,57.509685139399998,575096.851417541503906,9970.675768938221154
75470,Woodland,Broadleaved,England,53.518564551200001,535185.645520210266113,10177.373348972423628
75599,Woodland,Broadleaved,England,55.081549062699999,550815.490622520446777,10342.098226682983295
75901,Woodland,Broadleaved,England,56.206178056200002,562061.780538558959961,7794.698724829621824
76247,Woodland,Broadleaved,England,72.484702854199995,724847.028544425964355,15038.978144380651429
76534,Woodland,Broadleaved,England,80.861533023899995,808615.330242156982422,11914.434652714997355
76561,Woodland,Broadleaved,England,53.860210733000002,538602.107311248779297,8308.656782568246854
76694,Woodland,Broadleaved,England,56.740917914599997,567409.179097175598145,14581.069710990519525
76761,Woodland,Broadleaved,England,60.516333846999999,605163.338485717773438,7536.267650929495176
77121,Woodland,Broadleaved,England,63.649260602600002,636492.606079101562500,12659.642740709305144
77157,Woodland,Broadleaved,England,69.044771545800003,690447.715437889099121,11083.578976754341056
77243,Woodland,Broadleaved,England,73.151464927299997,731514.649259567260742,13878.875419775089540
77369,Woodland,Broadleaved,England,65.951726756499994,659517.267580986022949,9445.475373238739849
77378,Woodland,Broadleaved,England,111.606337429000007,1116063.374298095703125,15234.831091172543893
77570,Woodland,Broadleaved,England,103.524067977000001,1035240.679799079778604,15124.675934427838001
77686,Woodland,Broadleaved,England,56.514965209700001,565149.652091979980469,9712.103572629648625
77704,Woodland,Broadleaved,England,70.236309720700007,702363.097204208490439,12256.516870788940651
77740,Woodland,Broadleaved,England,54.251560763000001,542515.607632637023926,14052.885433594294227
77845,Woodland,Broadleaved,England,172.061814642999991,1720618.146394729614258,29476.425272661414056
77865,Woodland,Broadleaved,England,68.760760985000005,687607.609878540039062,12070.762887688810224
77882,Woodland,Broadleaved,England,67.118427153400006,671184.271535873413086,8795.457070898184611
78080,Woodland,Broadleaved,England,105.395833851999996,1053958.338521957397461,20577.490710003476124
78269,Woodland,Broadleaved,England,106.285570519999993,1062855.705227851867676,11566.208947038485348
78410,Woodland,Broadleaved,England,62.841531118500001,628415.311190605163574,9919.368768329459272
78568,Woodland,Broadleaved,England,85.369354698699993,853696.169132232666016,15748.362380489797943
78667,Woodland,Broadleaved,England,87.325437704300001,873254.377036094665527,9466.225054756037935
78937,Woodland,Broadleaved,England,90.550134215499995,905501.342164039611816,21387.985766423094901
78957,Woodland,Broadleaved,England,80.390546049299999,803905.460486412048340,13208.896105570080181
79118,Woodland,Broadleaved,England,62.033527297799999,620335.272962570190430,8792.790011520533881
79154,Woodland,Broadleaved,England,60.231526277299999,602315.262767791748047,10220.739725321009246
79228,Woodland,Broadleaved,England,51.077389717099997,510773.897151947021484,10082.669466011260738
79251,Woodland,Broadleaved,England,75.350431390300002,753504.313932418823242,15304.775496586242298
79361,Woodland,Broadleaved,England,64.324729231000006,643247.292313575744629,7950.359679015538859
79406,Woodland,Broadleaved,England,73.370675576400004,733706.755752563476562,10719.594997683116162
79440,Woodland,Broadleaved,England,256.407443553000007,2564074.435464859008789,33835.662657925269741
79566,Woodland,Broadleaved,England,78.703584292100004,787035.842945098876953,13189.882575286654173
79612,Woodland,Broadleaved,England,89.525428805700002,895254.288063049316406,11399.629707811374828
79663,Woodland,Broadleaved,England,291.801955535999980,2918019.555248260498047,48785.399049919149547
79844,Woodland,Broadleaved,England,243.308771557000000,2433087.715547561645508,25542.892420847620087
79937,Woodland,Broadleaved,England,234.993718832000013,2349937.188346862792969,26097.040955694821605
80087,Woodland,Broadleaved,England,111.765388173999995,1117653.881616592407227,17868.560698845991283
80725,Woodland,Broadleaved,England,55.141517630999999,551415.176269531250000,9311.447908422995170
80736,Woodland,Broadleaved,England,61.326520075700003,613265.200763702392578,8512.283916805161425
80774,Woodland,Broadleaved,England,63.655602943900000,636556.029415130615234,13139.798641398812833
80874,Woodland,Broadleaved,England,148.268706562999995,1482687.065614700317383,9594.364963220217760
81003,Woodland,Broadleaved,England,60.497288667200003,604972.886672973632812,7582.489938464009356
81123,Woodland,Broadleaved,England,50.165033992700003,501650.339937210083008,12319.129975183604984
81248,Woodland,Broadleaved,England,125.891517868999998,1258915.178640365600586,12818.953148372873329
81412,Woodland,Broadleaved,England,283.540947839000012,2835409.478321075439453,28908.987981331581977
81454,Woodland,Broadleaved,England,59.414745691000000,594147.456897735595703,6946.526113894969967
81485,Woodland,Broadleaved,England,51.644032605100001,516440.326080322265625,11906.785127568962707
81617,Woodland,Broadleaved,England,83.651831818199994,836518.318147659418173,17771.050166017943411
81730,Woodland,Broadleaved,England,65.146976620900006,651469.766160964965820,12262.426920891401096
81904,Woodland,Broadleaved,England,62.615937552600002,626159.375518798828125,8593.368037452168210
81921,Woodland,Broadleaved,England,79.603398938799998,796033.989416122436523,14225.216715926699180
81979,Woodland,Broadleaved,England,103.885567033000001,1038855.670303344726562,23536.180121067591244
82259,Woodland,Broadleaved,England,53.090696049500004,530906.960536956787109,9405.505980132051263
82670,Woodland,Broadleaved,England,50.900715912000003,509007.159162521362305,9374.754470164194572
82749,Woodland,Broadleaved,England,52.667370876200003,526673.708747863769531,8620.880749841486249
82768,Woodland,Broadleaved,England,80.047314015799998,800473.140190124628134,9371.336200534075033
83035,Woodland,Broadleaved,England,136.131359742000001,1361313.597410202026367,21993.148754026657116
83208,Woodland,Broadleaved,England,88.522175261000001,885221.752607345581055,8911.812233924936663
83233,Woodland,Broadleaved,England,231.474542987999996,2314745.429903030395508,41448.503678024368128
83406,Woodland,Broadleaved,England,62.051562703899997,620515.627021789550781,15939.175079189297321
83515,Woodland,Broadleaved,England,72.553636666000003,725536.366580963134766,13692.126365015135889
83597,Woodland,Broadleaved,England,209.507930345999995,2095079.303478240966797,21977.577085953751521
84070,Woodland,Broadleaved,England,53.340159729699998,533401.597253799438477,9859.996316099413889
84533,Woodland,Broadleaved,England,85.964490378600004,859644.903701782226562,20672.465563750680303
84534,Woodland,Broadleaved,England,51.002884735499997,510028.847381591796875,14813.771417199830466
85190,Woodland,Broadleaved,England,62.668654652699999,626686.546569824218750,15589.269423234067290
85292,Woodland,Broadleaved,England,96.467464141799994,964674.641374588012695,24238.167278928027372
85332,Woodland,Broadleaved,England,58.518114936000003,585181.149362564086914,14388.547494010903392
85377,Woodland,Broadleaved,England,72.009570614200001,720095.706151962280273,16658.093977040000027
85400,Woodland,Broadleaved,England,54.286339861000002,542863.398567199707031,7793.629870351874160
85802,Woodland,Broadleaved,England,65.085501249999993,650855.012531280517578,12039.951403601788115
85835,Woodland,Broadleaved,England,118.511363281000001,1185113.632614135742188,19450.447752395102725
86018,Woodland,Broadleaved,England,84.761387549500000,847613.875511169433594,21459.408939415450732
86391,Woodland,Broadleaved,England,146.711687971000003,1467116.879638671875000,29409.913661794438667
86400,Woodland,Broadleaved,England,133.521638749000005,1335216.387428283691406,14467.328659114395123
86527,Woodland,Broadleaved,England,100.704264228000000,1007042.642379760742188,16192.014392627856068
86530,Woodland,Broadleaved,England,57.249343104300003,572493.431011199951172,8412.105535446855356
86791,Woodland,Broadleaved,England,66.571458670699997,665714.586706161382608,12330.859887107297254
86843,Woodland,Broadleaved,England,58.225926608999998,582259.266071319580078,11812.749628992201906
87023,Woodland,Broadleaved,England,54.127614254299999,541276.142478942871094,10975.798869812371777
